event_date,country_id,network_id,client_id,value_usd
2022-07-13,1,60,121,75.775999
2022-07-13,1,60,154,0.963000
2022-07-13,1,60,174,309.821992
2022-07-13,1,60,189,5.631000
2022-07-13,1,60,256,4.714000
2022-07-13,1,60,302,37.400000
2022-07-13,17,10,174,2.000000
2022-07-13,109,10,73,0.510000
2022-07-13,109,10,94,0.240000
2022-07-13,109,10,97,1.100000
2022-07-13,109,10,104,0.320000
2022-07-13,109,10,121,0.320000
2022-07-13,109,10,174,0.800000
2022-07-13,109,10,256,0.100000
2022-07-13,109,10,275,1.090000
2022-07-13,109,10,302,0.100000
2022-07-13,109,60,71,0.300000
2022-07-13,109,60,73,0.100000
2022-07-13,109,60,94,0.387000
2022-07-13,109,60,95,1.440000
2022-07-13,109,60,97,0.169000
2022-07-13,109,60,121,8.235000
2022-07-13,109,60,174,6.740000
2022-07-13,109,60,189,1.269000
2022-07-13,109,60,256,0.892000
2022-07-13,213,60,189,0.600000
2022-07-14,1,10,71,0.730000
2022-07-14,1,10,73,2.280000
2022-07-14,1,10,94,32.369999
2022-07-14,1,10,95,1.000000
2022-07-14,1,10,104,6.510000
2022-07-14,1,10,121,5.400000
2022-07-14,1,10,154,1.600000
2022-07-14,1,10,189,1.200000
2022-07-14,1,60,71,6.871000
2022-07-14,1,60,94,109.765003
2022-07-14,1,60,95,3.000000
2022-07-14,1,60,97,0.740000
2022-07-14,1,60,104,1.822000
2022-07-14,1,60,121,72.017998
2022-07-14,1,60,174,284.213993
2022-07-14,1,60,189,1.884000
2022-07-14,1,60,256,9.428000
2022-07-14,1,60,302,36.800000
2022-07-14,17,60,189,1.000000
2022-07-14,109,10,73,0.510000
2022-07-14,109,10,94,0.960000
2022-07-14,109,10,97,0.180000
2022-07-14,109,10,104,0.960000
2022-07-14,109,10,121,0.320000
2022-07-14,109,10,174,0.240000
2022-07-14,109,10,275,1.230000
2022-07-14,109,10,302,0.100000
2022-07-14,109,60,71,0.300000
2022-07-14,109,60,94,0.909000
2022-07-14,109,60,95,0.240000
2022-07-14,109,60,97,1.352000
2022-07-14,109,60,121,6.928000
